docno	text
14	"The world must act to #EndIsraeliApartheid.
US &amp;the West insist on continuing to support #IsraelTerroristEntity in its aggression against the Palestinians,shielding it from accountability for the countless #warcrimes it has committed in #Gaza &amp;the WestBank.
#WestBank_Under_Attack https://t.co/iMGKie6B1Z"
15	"@TheCradleMedia The world must act to #EndIsraeliApartheid.
US &amp;the West insist on continuing to support #IsraelTerroristEntity in its aggression against the Palestinians,shielding it from accountability for the countless #warcrimes it has committed in #Gaza &amp;the WestBank.
#WestBank_Under_Attack https://t.co/MIRRcEv6fz"
16	"@QudsNen The world must act to #EndIsraeliApartheid.
US &amp;the West insist on continuing to support #IsraelTerroristEntity in its aggression against the Palestinians,shielding it from accountability for the countless #warcrimes it has committed in #Gaza &amp;the WestBank.
#WestBank_Under_Attack https://t.co/V04bizymqs"
17	@JvniorLive u were busy living ur soft life, swimming in peace with a sunset view and rolls royces parked behind you while gaza was under attack but now suddenly ur the moral compass?u remember to act woke?bro ur hypocritical u ain’t a voice for the oppressed,ur just want attention! https://t.co/QzKcD3ZIu1
18	A Palestinian boy kisses a Palestinian girl, both of them covered in blood, injured in a Zionist terrorist attack on Gaza. a scene that embodies innocence amidst destruction, tenderness in the embrace of pain, as if the kiss of life resists death under a torrent of hatred, fire.
19	@MichaelRapaport F..k off, Israel isn’t under attack, GAZA is, look at the pictures, screw Israel, you wonder why people have strong opinions of Jews.
20	@yousef_ki1 APAC Senators Fundraiser Jews Terrorizing GaZa Kids War criminal President Donald J Trumps Treason a trumping Fucks America Jews Cocked Sucking Control Funded Gaza War criminals Paid By you Bill 💵 GatED Bonded Pouring Silence 🤐 American You under attack as GAZa China 🇨🇳 spit 🐉
21	"Israel continues to target civilians in Gaza, where the oppressive world remains silent about what the morally dissolved Zionist entity is doing
#Rafah_under_attack
#Gaza_under_attack #Famine_in_Nurth_Gaza
#Jabalia #palastine #Isarael
#Gazagenocide #Gaza
#FreeGaza #Rafah"
22	@MissingHag @TraxelRiley @atensnut As for #Gaza being retaliated against for the terrorist attack launched: Oct. 2023 and #Putin attacking #Ukraine BOTH during the #Biden weak, feckless era. Wars break out under weak #Democrat admins. #AbrahamAccords saw PEACE breakout in middle east, NOT war. That is history..
23	@Currentreport1 As long as Gaza is under the aggression of the Israeli regime, Yamen will continue to attack American forces in the Red Sea region.... 🥺
24	"@TheCradleMedia Ben Gvir honors a killer at the site where a Palestinian youth was murdered.
This is terrorism, not justice.
Children in Gaza are bombed, youth in the West Bank are executed—where is humanity? 🚨🇵🇸
@IntlCrimCourt @BBC

#IsraelTerroristEntity
#westbank_under_attack"
25	@SuppressedNws Netanyahu is under intense political &amp; Israeli public pressure to end the Gaza war &amp; bring back the hostages,but he wants to continue war at all costs,for which he has asked the US to immediately attack Iran so that the Israeli public's attention is diverted from the Gaza war.
26	@K_11_10N @Mido_Damas @HsSaddm You are a disguised Syrian pretending to be Palestinian. All your posts are about Syria . Gaza is nearer and is under attack, isn’t it ? Fuck off stupid.
27	"@gazanotice The occupation doesn’t just kill humans; it erases life itself. Soldiers laugh while burning trees, chanting hymns of hate. Gaza is not just under attack—it’s being erased. 🌳🔥
#GazaUnderAttack
#FreePalestine
#IsraelTerroristEntity

🔻🐝"
28	"The occupation doesn’t just kill humans; it erases life itself. Soldiers laugh while burning trees, chanting hymns of hate. Gaza is not just under attack—it’s being erased. 🌳🔥
#GazaUnderAttack
#FreePalestine
#IsraelTerroristEntity

🔻🐝 https://t.co/gFUfv4MQH4"
29	"⚠️ With no ceasefire in sight and once again #Gaza comes under relentless attack, GAC teams are ramping up efforts to deliver food parcels to hundreds of displaced families. 

DONATE NOW ➡️ https://t.co/VJcrVvhrFn https://t.co/Q3mPQhjXAn"
30	"@QudsNen They kill children in Gaza, detain teenagers in Jerusalem, and celebrate murderers in the West Bank.
The world watches in silence.
Shame on every complicit regime. 🔥 @CIJ_ICJ @NYTimes
 #StopIsraeliTerror 
#westbank_under_attack"
31	"@SuppressedNws They kill children in Gaza, detain teenagers in Jerusalem, and celebrate murderers in the West Bank.
The world watches in silence.
Shame on every complicit regime. 🔥 @CIJ_ICJ @NYTimes
 #StopIsraeliTerror 
#westbank_under_attack"
32	"@SuppressedNws They kill children in Gaza, detain teenagers in Jerusalem, and celebrate murderers in the West Bank.
The world watches in silence.
Shame on every complicit regime. 🔥 @CIJ_ICJ @NYTimes
#StopIsraeliTerror 
#westbank_under_attack"
33	"@TheCradleMedia They kill children in Gaza, detain teenagers in Jerusalem, and celebrate murderers in the West Bank.
The world watches in silence.
Shame on every complicit regime. 🔥 @CIJ_ICJ @NYTimes
 #StopIsraeliTerror 
#westbank_under_attack"
34	@SuppressedNws Palestinian children are either killed in Gaza or tormented in prisons. Ahmad Manasra’s story exposes Israel’s cruelty. @NYTimes @thetimes #westbank_under_attack
35	"@PhoenixKeyBlack @Elisa0546915101 @SneederGriffin @JimmyJ4thewin I wasn’t engaging with every1 on that thread I was engaging with you, I didn’t read everyone’s comments. Also the attack happened in the West Bank, not Gaza, so why would I presume everyone is talking about Gaza. 

I still directly answered your question, Gaza is under occupation"
36	@Hamzasharif5750 💔💔💔💔💔💔👁️🎚️👁️🐉ISIS JEWS TERRORIZING GAZA BEHEADING GAZA KIDS USA fUNDED YOUR OWN DEMISE WAR CRIMES IMPRISONED USA TAXPAYERS EATING 🥣 BILL 💵 GATED POURING GROUND ZERO 0️⃣ HOLOCAUST USA HOSTAGE YOUR EYES EYES WIDE SHUT YOUR UNDER ATTACK FROM WITHIN DIRTY DITTY POLITICIANS 🚨
37	"@Bundeskanzler ISRAEL-PALESTINE CONFLICT: DAILY LIFE IN OCCUPIED PALESTINE
https://t.co/GWzfWeozvt
#Palestinian #PalestinianLivesMatter #palestinianfood #PalestinianFreedom #Gaza #GazaGenocide #GazaUnderAttack #gaza_under_attack_now #Gaza_is_under_bombardment #GazaStarving @KingAbdullahII"
38	"Gaza continues to offer martyrs, as the criminal and morally decadent Zionist occupation continues to bombard Gaza
#Rafah_under_attack
#Gaza_under_attack #Famine_in_Nurth_Gaza
#Jabalia #palastine #Isarael
#Gazagenocide #Gaza
#FreeGaza #Rafah"
39	✊ The Zionist entity fears even Palestinian children! Ahmad Manasra’s 9 yrs of torment prove their brutality. Kids in Gaza are bombed, while those in the West Bank face torture. The world must act now! @CIJ_ICJ @BBC #IsraelTerroristEntity #westbank_under_attack 🔻🐝 https://t.co/492vjFTkH5
40	@SuppressedNws ✊ The Zionist entity fears even Palestinian children! Ahmad Manasra’s 9 yrs of torment prove their brutality. Kids in Gaza are bombed, while those in the West Bank face torture. The world must act now! @CIJ_ICJ @BBC #IsraelTerroristEntity #westbank_under_attack 🔻🐝
41	"🐝🔻

@nyTimes @BBC Ahmad Manasra, a child, was tortured for 9 yrs by the Zionist entity, now under house arrest! Palestinian children face death in Gaza or abuse in the West Bank. Where’s the justice?

#IsraelTerroristEntity
#westbank_under_attack https://t.co/856YxSCcLL"
42	"@SuppressedNws 🐝🔻

@nyTimes @BBC Ahmad Manasra, a child, was tortured for 9 yrs by the Zionist entity, now under house arrest! Palestinian children face death in Gaza or abuse in the West Bank. Where’s the justice? 

#IsraelTerroristEntity
#westbank_under_attack"
43	"🐝🔻

The world watches silently as Palestinian children are crushed—killed in Gaza, imprisoned in the West Bank. @CIJ_ICJ, where is international law? 🌍✊

#westbank_under_attack
#IsraelTerroristEntity https://t.co/8H3MEb10Ei"
44	"@SuppressedNws 🐝🔻

The world watches silently as Palestinian children are crushed—killed in Gaza, imprisoned in the West Bank. @CIJ_ICJ, where is international law? 🌍✊

#westbank_under_attack
#IsraelTerroristEntity"
45	"@SuppressedNws Palestinian children face two fates: death in Gaza or torture in Jerusalem and the West Bank. Ahmed Manasra’s story is a stain on humanity. Tag @IntlCrimCourt—act now! 🔥🇵🇸
#IsraelTerroristEntity #westbank_under_attack 🔻🐝"
46	"Palestinian children face two fates: death in Gaza or torture in Jerusalem and the West Bank. Ahmed Manasra’s story is a stain on humanity. Tag @IntlCrimCourt—act now! 🔥🇵🇸
#IsraelTerroristEntity #westbank_under_attack 🔻🐝 https://t.co/e6rlkwt6TL"
47	"🐝🔻

@nyTimes @BBC The world normalizes their crimes while Palestinian youth pay with their lives.
A child in Gaza, a teen in Jerusalem, a martyr in the West Bank—this is ethnic cleansing.
Act now. 🌍✊

#GazaUnderAttack
#westbank_under_attack https://t.co/aYUWl3BOmB"
48	"@TheCradleMedia 🐝🔻

@nyTimes @BBC The world normalizes their crimes while Palestinian youth pay with their lives.
A child in Gaza, a teen in Jerusalem, a martyr in the West Bank—this is ethnic cleansing.
Act now. 🌍✊

#GazaUnderAttack
#westbank_under_attack"
49	"🔥 They kill children in Gaza, detain teenagers in Jerusalem, and celebrate murderers in the West Bank.
The world watches in silence.
Shame on every complicit regime. 🔥 @CIJ_ICJ @NYTimes
🔻🐝 #StopIsraeliTerror
#westbank_under_attack https://t.co/tXxPKxepiN"
50	"@TheCradleMedia 🔥 They kill children in Gaza, detain teenagers in Jerusalem, and celebrate murderers in the West Bank.
The world watches in silence.
Shame on every complicit regime. 🔥 @CIJ_ICJ @NYTimes
🔻🐝 #StopIsraeliTerror 
#westbank_under_attack"
51	"Ben Gvir honors a killer at the site where a Palestinian youth was murdered.
This is terrorism, not justice.
Children in Gaza are bombed, youth in the West Bank are executed—where is humanity? 🚨🇵🇸
@IntlCrimCourt @BBC

#IsraelTerroristEntity
#westbank_under_attack

🔻🐝 https://t.co/HnL3JeiRfB"
52	"@TheCradleMedia Ben Gvir honors a killer at the site where a Palestinian youth was murdered.
This is terrorism, not justice.
Children in Gaza are bombed, youth in the West Bank are executed—where is humanity? 🚨🇵🇸
@IntlCrimCourt @BBC

#IsraelTerroristEntity
#westbank_under_attack

🔻🐝"
53	"Gaza Under Attack_ Unbearable Onslaught &amp; Mental Collapse
#GazaArabia,#Gaza,#Arabia,#Palestine,#Abaya,#Hijab,#ModestFashion,#Kaftan,#HijabStyle,#ModestWear,#MuslimFashion,#ModestApparel,#ModestOutfit,#ModestStyle,#SupportGaza,#ModestLook,#ModestBrand,#EthicalFashion,#thobes https://t.co/TxpVYXxv8Z"
54	@M_A_G_E_D12 Israelis thinking they should leave Gaza generally alone in spite of being still under rocket fire for years and thinking Hamas wasn't going to attack them kinda undermines the terrorism claim.
55	@BelzileBen86587 @JulieLynnBH @IsraeliPM @jonesdm91 “when Israel is under attack by the whole world.”  What planet do you live in?  Who is staving and incinerating women and children by the tens of thousands, who is destroying hospitals, schools churches and mosques in Gaza?  Who is perpetrating a Genocide?
56	@ImMeme0 Peanut 🥜 squirrel 🐿️ was kidnapped out of his home 🏠 and Beheaded yes it’s Coming you still sleeping 💤USA did you not know you under attack we are AS GAZA we Americans are eating poisonous ☠️ Bill 💵 Gates food 🥘 Ground zero 0️⃣ farms still silent 🔕 Trans 🧛🏽‍♂️🦇🧛🏽‍♂️🎺🐉📡WAKE UP
57	"Gaza under relentless attack as Israeli strikes kill 35 in Shujayea, leaving 80 missing under rubble. UN chief calls it a 'killing field' as blockade persists. 

#Gaza #Palestine https://t.co/fAHeenFdmN"
58	"@TheCradleMedia #IsraelTerroristEntity
#westbank_under_attack
Palestinian children are either killed in Gaza, or abused in Jerusalem and the West Bank.
@NYTimes
@IntlCrimCourt"
59	@SuppressedNws Ahmed Manasra's story is a heartbreaking reminder of Israel's apartheid policies. Palestinian children are either killed in Gaza or imprisoned in the West Bank. @CNN and @BBC must report on this crisis. #westbank_under_attack
60	Ahmed Manasra's story is a heartbreaking reminder of Israel's apartheid policies. Palestinian children are either killed in Gaza or imprisoned in the West Bank. @CNN and @BBC must report on this crisis. #westbank_under_attack https://t.co/JN3mUxs5bY
61	"ISREALI WAR CRIMES 🇮🇱🇮🇱‼️
10/04/2025

Palestine 🇵🇸

- Heavy isreali artillery shelling east of jabalia North of Gaza 

-  Shejaeya neighborhood still under attack 

- A number of Palestinians were killed and others were injured after bombing of house in Al shujaiya https://t.co/p8lROZSwG2"
62	@EYakoby A proportional response to the Oct 7th Hamas 2023 attack didn't give Israel the right to slaughter more than 50,000 people, an unknown number still buried under the rubble of their homes,medics, journalists etc,or destroy most of Gaza. Using snipers to kill civilians is barbaric.
63	"@SuppressedNws Palestinian children are being killed in Gaza or abused in the occupied West Bank and Jerusalem.
@thetimes @BBC 
#IsraelTerroristEntity 
#westbank_under_attack"
64	@TheCradleMedia #IsraelTerroristEntity crimes against Palestinians way far from Gaza. State Terrorism is supported and encouraged by the occupation forces #westbank_under_attack https://t.co/VfinjyFXkp
65	"@SuppressedNws Palestinian children are being killed in Gaza or abused in the occupied West Bank and Jerusalem.
#IsraelTerroristEntity
#westbank_under_attack"
66	#IsraelTerroristEntity crimes against Palestinians way far from Gaza. State Terrorism is supported and encouraged by the occupation forces #westbank_under_attack https://t.co/DPa9MH2uMd
67	"@SuppressedNws @SuppressedNws
Ahmad Manasra was kidnapped as a child and returned as a broken young man, both mentally and physically.  
Gaza today isn’t just under attack—it’s a living testament to the collapse of human conscience."
68	War on Gaza: Jewish attack on Shujaiya homes kills 30 with more feared under rubble - https://t.co/bUIo5TKQFN
69	@BRICSinfo Good luck. You did nothing when they bombed babies in gaza 24/7 with f16s. Now you are under attack. Karma rules.
70	"Stop the imperialist-backed genocide in Gaza &amp; Bastar!

Gaza is under attack by Israeli forces &amp; imperialist powers, while Bastar (Chhattisgarh) faces bombing by the Hindutva Indian state, using Israeli drones &amp; US tech. 

End the violence!  
#StopBombingGaza #StopBombingBastar https://t.co/MvIGzY9nOl"
71	Check out this article: War on Gaza: Jewish attack on Shujaiya homes kills 30 with more feared under rubble - https://t.co/7ZYdub9lzq
72	The shameless bull-shitting Israeli Foreign Ministry freak is asserting Israelis right to continue its TOTAL blockade of Gaza in response to António Guterres asking them to meet their obligations under International law and allow aid in which Oren says is an attack on Israel. https://t.co/vq7c07Co4d
73	#GazaGenocide: Rescue teams try to free a man trapped under the rubble of destroyed buildings following an Israeli attack on residential areas in the Shujayea neighbourhood of Gaza City amid the lack of tools needed to recover the casualties. https://t.co/fVryWe83Ur
74	@its_The_Dr Wow No arrest yet Zero Accountability Pam Bonded up ISIS JEW ASS Trump help Gaza Stop 🛑 Genocide Fundings ISIS we are under Attack 🚩🚩🚩🚩🚩🚩🚩🚩🚩Bill 🐉Gates pouring forever poison ☠️ Holocaust Ground Farms Zero 0️⃣ China 🇨🇳 invasion owns all USA farms Jews ISIS transfer 🩸🕳️
75	@geraldcelente ISIS IS ISRAEL 🇮🇱 Jews Beheading Gaza Kids Silent 🔇 American you In A HOLOCAUST Bill 💵 ISIS GATED China 🇨🇳 spitting Forever Poison ☠️ Farms Ground Zero 0️⃣ We are Under Attack Trumping War crimes against humanity Most wanted TERROR ISIS Jews Wake Up USA Taxpayers funding GaZa 🚨
76	@Osint613 He outrageously links the murderous terror reign of Pol Pot to Israel.  A small country which has been under constant terrorist attack on all sides. By those who went on to invade it, rape torture and murder innocents, and drag hundreds of hostages into Gaza to torture and kill.
77	Bible prophecies coming into fulfillment. Woke. Family separation.  (Divorce rates increased since 60ties)  Family hatred. Diseases. Jews returning. More serious earthquakes, etc. Jerusalem back on map. Israel under attack. Gaza destruction. All in there. ❤️ https://t.co/Z8qtvS5xht
78	"I should’ve been surprised to read that, after all he saw last year—reflected in that incredible letter to Biden—Dr. @FerozeSidhwa returned to help more people in Gaza.

But he’s no stranger to this work.

Still, Gaza’s health facilities are under extremely unique risk of attack. https://t.co/4Lv4kqW94q"
79	"Famine is killing our families and loved ones in Gaza because of the siege Israel is doing there
#RafahUnderAttack
#Gaza_under_attack #Famine_in_Nurth_Gaza
#Jabalia #palastine #Isarael
#Gazagenocide #Gaza
#FreeGaza #Rafah"
80	LIVE BLOG: Gruesome Shejaiya Massacre | Shekel Collapsing | Balata under Attack – Day 551 - Palestine Chronicle https://t.co/5rqzrybeTO
81	"🚑 MSF under attack?!
Médecins Sans Frontières reports an Israeli strike hit near their clinic in Gaza's so-called safe zone."
82	@TheRISEofROD Absolutely 💯 True We Are Under Attack from ISRAEL 🇮🇱 BLACKMAIL On USA CONTINUES IN TRUMPS I AM APPALLED 😱 I WAS TRICKED I wILL NEVER Vote 🗳️ for Treason Against America as USA Funding Jews Beheading Kids to STEAL their LAND GAZA is A GENOCIDE JEWS BARBARISM control TRUMP YES 🚩
83	"Medics said dozens of others were wounded in the attack that hit a multi-floor residential building in the eastern suburb of Gaza City. Many were still believed to be missing and trapped under the ruins of the building. 

https://t.co/nG1p8ANFN3"
84	"North, south Gaza under predawn artillery attack by Israeli forces

Follow our live Gaza coverage here: https://t.co/eLhbMgbatd https://t.co/eLR6uKnFb8"
85	"@antonioguterres Aid to Gaza? Absolutely no more.  Previously we sent them aid and they used it to attack Israel and fire over 13,200 rockets, drones and missiles.

Gaza has become a means by which Fascist Europeans advance a new Holocaust under pretensions of compassion and morality."
86	"Gaza is still under attack. Lack of informations doesn't mean that there are no airst*ikes or bom*ings ‼
They literally don't stop 
 #GazaGenocide 
#غزة_تُباد 
#غزة_تحت_القصف https://t.co/BGSY3hCBu0"
87	@HeidiBachram @sussex_police Call them what they really are Nazi’s If they want to murder jews&amp; Attack Israel or if Yhey Deny Holocaust Their Nazis There Is No Palestine The Arabs Invaded Gaza And took it over under Israels Nose- Gaza Belongs to Israel Since King David took it from Philistines🇮🇱✡️🎗️ https://t.co/A1LyPGGW14
88	LIVE BLOG: Gruesome Shejaiya Massacre | Shekel Collapsing | Balata under Attack – Day 551 https://t.co/8xofmnSKmV via @PalestineChron
89	@gazanotice Look 👀 🎚️🪞No one finds REST War criminals Beheading Gaza Kids crime scene 🎬 uSA fundraising Killing Kids Trumping 🪞🎚️📡💡💡💡USA funded Perverts To Kill Gaza kids Journalists burning 🔥 do you have ears 👂 Do you hear 👂 your As Gaza Under Attack 📡Repulsed Ditty Politicians
90	@gazanotice Crime Scene 🎬 None Shall Find REST Gods Cursed Watching Fundraising Beheading Gaza Kids War crimes Funded by you Bill 💵 Gates Poison You hush control Idiot stop 🛑 paying taxes Funding your own poison ☠️ Ground Zero 0️⃣ We are under attack from within ISRAEL 🇮🇱 Jews Shits lips
91	"@ahmedgaza24 President Donald J Trump Help
GaZa Now Help
stop
🛑 Funding Jews Beheading Kids stop 🛑 War crimes against humanity Gaza crime Scene 🎬 HELP FREE Gaza Fuck ISREAL MAGa Wants Justice FUCK ISREAL WE ARE UNDER attack Bill 💵 Gates zero Arrest Orders USA Silence 🤐 GROUnD Zero 0️⃣ USA"
92	"Who can inform Dutton, Cash, Paterson, Hastie #Christian churches under attack in #Gaza?Clearly they're keen to co-operate with the dehumanising and extinction of ""Muslim"" Palestinians, ignoring the reality that EVERY life is of value as they condone/enable IDF's vile slaughter? https://t.co/evbMQaSkKG"
93	"Miss Rachel is under attack for speaking up against the barbaric slaughter of Palestinian children in #Gaza. 

Let this sink in!!!! https://t.co/f7sT2VynMv"
94	"According to Reporters Without Borders @RSF_inter, at least 35 journalists may have been directly targeted for their work. As press casualties mount, the future of journalism — and the right to report freely — is under attack.

https://t.co/FeyGY2uepo"
95	"War on Gaza: Jewish attack on Shujaiya homes kills 30 with more feared under rubble

https://t.co/fJrCwsanIW"
96	"This Italian barber guy waving Palestine 🇵🇸 #youtubeshorts #shortsfeed #... https://t.co/XuGx0MUevG @YouTube

#GazaGenocides  
#Gaza_under_attack 
#IsraelTerrorists
#israeliterrorsim
#Hamas  
#FreePalastine 
#Israel_War_Crimes"
97	@NormaGreenhalgh @elonmusk I bet you wish the starving kids got the money Biden and his crackhead son got paid by foreign countries right. Remember Gaza attack Israel under Biden and Israel retaliated under Biden. No wars under Trump no one dry under Trump.
98	"Gaza medics under Israeli attack since 2009
@NewZealandMFA
@winstonpeters
@MFATNZ
@chrisluxonmp
Don't tell Aotearoa you don't know.

https://t.co/B9UXOpBitc https://t.co/Jrh6s9mIPq"
99	@kid_funki_fri @Alex0levy @shadi_barham @MinarchistJew @KNEECAPCEOL Yes, I can distinguish between outgoing and incoming fire. In the video from the March 23, 2025, Gaza medics incident, evidence shows no outgoing fire from the convoy. The footage, backed by reports from BBC, NPR, and others, depicts vehicles with lights on under attack, with no
100	"In heartbreaking words, American journalist Abby Martin describes how the massacres in Gaza changed her forever: ""I don't know how to tell my children that the world watched all this and did nothing... 
#israel crimes
#idf crimes
#Gaza 
#LISACHELLA https://t.co/zDjWUPc6sK"
101	“Massive marches in Bangladesh in support of Gaza, Palestine, and condemnation of the occupation's massacres. https://t.co/SIHhxT9StS
102	"@realDonaldTrump A girl bids farewell to her  father who killed in Israeli air strike in Khan Younis,Gaza.
Respected fair Mr president 
Is it USA weapons produced to kill children!?
When brutal massacres ended?
Sir impose two states solution permanent peace process regardless religion colour,etc https://t.co/cKKKmUqj9f"
103	@SuppressedNws Protesting the Israeli massacres and atrocities in Gaza is not illegal !!!! Every decent person in the world should be protesting the Israeli murder of innocent women and children !!! The Trump administration have no moral compass, and no humanity, as they are captured by Israel
104	Photos: A human flood in Dhaka, the capital of Bangladesh, in support of Gaza and condemnation of the occupation's massacres. #freepalestine #Gaza #GazaGenocide‌ https://t.co/dCj02lcLq1
105	Photos: A human flood in Dhaka, the capital of Bangladesh, in support of Gaza and condemnation of the occupation's massacres. #FreePalestine #Gaza #GazaGenocide‌ https://t.co/zFEohdWU0p
106	@ChowdahHill #America_the_mother_of_terrorism comes from the ends of the earth to fight the rightful owners. Why not just for navigation? For Israel... Israel is the spoiled child of the Americans, and we said that no Israeli ship will pass until the massacres in Gaza stop.
107	120 demonstrations took place today in 60 Moroccan cities in support of Gaza and in condemnation of the Israeli occupation’s crimes and massacres in the Strip. https://t.co/qfhgeL7dxd
108	Activists are calling for an open global media campaign on Monday in support of Gaza and to highlight the ongoing massacres committed by the occupation https://t.co/ZGCRApaYVp
109	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/Fz9GpQqZLU via @YouTube
110	@defense_civil25 The USA has the audacity to stand by while Gaza burns, yet its own history is drenched in the blood of genocide—systematically annihilating over 10 million Native Americans, reducing their population to near extinction by 1900 through massacres, forced marches like the Trail of
111	A human flood in Dhaka, the capital of Bangladesh, in support of Gaza and in condemnation of the occupation's massacres. https://t.co/4I9e7PEGj9
112	"@Dani_Blek @muhammadshehad2 Interpret it however you want.
 The world is watching the daily massacres and killing of children in Gaza live. https://t.co/NmnxmKrxty"
113	"@Rondo2 @RyanRozbiani Remember how nobody felt bad for Nazis? 
Well congrats Israelis, you’re the new Nazis 

And no amount of whining or pretending to be victims is going to make people feel sorry for you.
Israel is committing massacres in Gaza.Lebanon.Syria.
Israel has no other agenda but genocide."
114	Oh world, oh free people everywhere What is happening now is the advance of tanks from eastern Gaza in Al-Shuja’iya, Al-Sha’af, Al-Tuffah and Al-Zaytoun, “not progress in negotiations,” and a significant increase in daily massacres, “not an increase in aid.”
115	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/8CaUJsC9VF via @YouTube
116	"IsraHELL massacres children, burns tents in Gaza, with Nora Barrows-Friedman
https://t.co/2b00mc0klP"
117	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/l0Kw7PPthk
118	Pro-Palestinian activists turn the pool of water in front of the US embassy in the British capital, London, into a pool of blood, in protest and support for the ongoing massacres in the Gaza Strip. https://t.co/amoymhDRzb
119	@Sheikhalfaris 2/2 Now there is some reaction from Muslims in Gaza But Why? Because the media justified the killings by superpowers western powers along with the rulers of Muslim nations If Muslims show such apathy to massacres happening in their middle they are neither humans nor Muslims
120	More &amp; more news  on the plight of Israeli hostages. Why oh why @BBCNews @BBCWorld  are you not focusing on the thousands of Palestinian “prisoners”, incl. children, held without trial let alone the ongoing massacres in Gaza and growing atrocities in https://t.co/KvivoRhZkp?
121	"Electronic Intifada (@intifada):

Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman (@norabf)

video ~25:10min

https://t.co/7zGSHA6CFa"
122	"#News about #Gaza #Yemen #Iram #Syria 

In its latest daily report, the Ministry of Health in Gaza disclosed that the ruthless Israeli massacres against Palestinian families in the Strip have killed 50,886 Palestinians and injured 115,875 others since October 7, 2023.

In detail, https://t.co/rS5GFpNAmW"
123	@maxotte_says As Alevis, Druze, and Christians in Syria are being slaughtered or ethnically cleansed, and German weapons kill in Gaza, it’s hard not to ask whether we’re complicit—funding these massacres through the taxes we pay to our so-called morally superior regimes.
124	Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/9nUqWSgzU2 via @YouTube
125	#Israel massacres children, burns tents in #Gaza #ArrestNetanyahu #EndImpunity #Divest #Boycott #Divestment #BDS #Sanctions #EthnicCleansing #Apartheid #INDPol #AUSPol #CdnPoli #USPol #USPoli #UKPol #EUPol #AUPol #NSWPol #NZPol #JAPPol #SAPol #SAPolitics https://t.co/naWzplbTyL
126	@EmmanuelMacron And how do you stop the massacres of innocent people in Gaza committed by Israel?
127	"why  does god  allow   humans  to exist?
TRUMP.

Israel massacres children, burns tents in Gaza, with Nora Barrows-Friedman https://t.co/c5cye4GClM via @YouTube"
